Sexo,Estado civil,Densidad corporal,Porcentaje de grasa,Edad (años),Peso (libras),Altura (pulgadas)
FEMENINO,SOLTERO,1.0708,12.3,23,154.25,67.75
MASCULINO,SOLTERO,1.0708,12.3,23,154.25,67.75
FEMENINO,CASADO,1.0853,6.1,22,173.25,72.25
MASCULINO,CASADO,1.0414,25.3,22,154,66.25
FEMENINO,CASADO,1.0751,10.4,26,184.75,72.25
FEMENINO,CASADO,1.034,28.7,24,184.25,71.25
NOREGISTRADO,SOLTERO,1.0502,20.9,24,210.25,74.75
FEMENINO,CASADO,1.0549,19.2,26,181,69.75
MASCULINO,SOLTERO,1.0704,12.4,25,176,72.5
FEMENINO,CASADO,1.09,4.1,25,191,74
MASCULINO,CASADO,1.0722,11.7,23,198.25,73.5
FEMENINO,CASADO,1.083,7.1,26,186.25,74.5
FEMENINO,SOLTERO,1.0812,7.8,27,216,76
FEMENINO,SOLTERO,1.0513,20.8,32,180.5,69.5
FEMENINO,SOLTERO,1.0505,21.2,30,205.25,71.25
FEMENINO,SOLTERO,1.0484,22.1,35,187.75,69.5
NOREGISTRADO,SOLTERO,1.0512,20.9,35,162.75,66
FEMENINO,CASADO,1.0333,29,34,195.75,71
MASCULINO,SOLTERO,1.0468,22.9,32,209.25,71
MASCULINO,SOLTERO,1.0622,16,28,183.75,67.75
FEMENINO,CASADO,1.061,16.5,33,211.75,73.5
FEMENINO,CASADO,1.0551,19.1,28,179,68
MASCULINO,SOLTERO,1.064,15.2,28,200.5,69.75
MASCULINO,CASADO,1.0631,15.6,31,140.25,68.25
FEMENINO,CASADO,1.0584,17.7,32,148.75,70
FEMENINO,SOLTERO,1.0668,14,28,151.25,67.75
MASCULINO,SOLTERO,1.0911,3.7,27,159.25,71.5
FEMENINO,SOLTERO,1.0811,7.9,34,131.5,67.5
FEMENINO,SOLTERO,1.0468,22.9,31,148,67.5
FEMENINO,CASADO,1.091,3.7,27,133.25,64.75
FEMENINO,CASADO,1.079,8.8,29,160.75,69
MASCULINO,SOLTERO,1.0716,11.9,32,182,73.75
FEMENINO,SOLTERO,1.0862,5.7,29,160.25,71.25
MASCULINO,CASADO,1.0719,11.8,27,168,71.25
FEMENINO,CASADO,1.0502,21.3,41,218.5,71
MASCULINO,SOLTERO,1.0263,32.3,41,247.25,73.5
MASCULINO,CASADO,1.0101,40.1,49,191.75,65
NOREGISTRADO,CASADO,1.0438,24.2,40,202.25,70
MASCULINO,SOLTERO,1.0346,28.4,50,196.75,68.25
FEMENINO,SOLTERO,1.0202,35.2,46,363.15,72.25
FEMENINO,SOLTERO,1.0258,32.6,50,203,67
FEMENINO,SOLTERO,1.0217,34.5,45,262.75,68.75
MASCULINO,SOLTERO,1.025,32.9,44,205,29.5
FEMENINO,SOLTERO,1.0279,31.6,48,217,70
MASCULINO,SOLTERO,1.0269,32,41,212,71.5
MASCULINO,SOLTERO,1.0814,7.7,39,125.25,68
MASCULINO,SOLTERO,1.067,13.9,43,164.25,73.25
FEMENINO,SOLTERO,1.0742,10.8,40,133.5,67.5
MASCULINO,CASADO,1.0665,5.6,39,148.5,71.25
FEMENINO,CASADO,1.0678,13.6,45,135.75,68.5
MASCULINO,SOLTERO,1.0903,4,47,127.5,66.75
MASCULINO,SOLTERO,1.0756,10.2,47,158.25,72.25
FEMENINO,CASADO,1.084,6.6,40,139.25,69
FEMENINO,SOLTERO,1.0807,8,51,137.25,67.75
MASCULINO,CASADO,1.0848,6.3,49,152.75,73.5
FEMENINO,SOLTERO,1.0906,3.9,42,136.25,67.5
FEMENINO,CASADO,1.0473,22.6,54,198,72
FEMENINO,SOLTERO,1.0524,20.4,58,181.5,68
MASCULINO,CASADO,1.0356,28,62,201.25,69.5
MASCULINO,SOLTERO,1.028,31.5,54,202.5,70.75
MASCULINO,CASADO,1.043,24.6,61,179.75,65.75
